sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
esporte-124;corda-crossfit;Corda Crossfit;Esporte;24,86;49,72;https://pt.aliexpress.com/w/wholesale-jump+rope+weighted.html;assets/img/ali/esporte-124.jpg
esporte-125;elastico-kit-5;Elástico Kit 5;Esporte;35,74;71,48;https://pt.aliexpress.com/w/wholesale-resistance+bands+set+5.html;assets/img/ali/esporte-125.jpg
esporte-126;rolo-liberacao-miofascial;Rolo Liberação Miofascial;Esporte;43,51;87,02;https://pt.aliexpress.com/w/wholesale-foam+roller+massage.html;assets/img/ali/esporte-126.jpg
esporte-127;garrafa-1l-esportiva;Garrafa 1L Esportiva;Esporte;29,01;58,02;https://pt.aliexpress.com/w/wholesale-sports+water+bottle+1l.html;assets/img/ali/esporte-127.jpg
esporte-128;luvas-academia;Luvas Academia;Esporte;21,76;43,52;https://pt.aliexpress.com/w/wholesale-gym+workout+gloves.html;assets/img/ali/esporte-128.jpg
esporte-129;caneleira-2kg-par;Caneleira 2kg Par;Esporte;49,21;98,42;https://pt.aliexpress.com/w/wholesale-ankle+weights+2kg+pair.html;assets/img/ali/esporte-129.jpg
esporte-130;bola-pilates-65cm;Bola Pilates 65cm;Esporte;39,89;79,78;https://pt.aliexpress.com/w/wholesale-pilates+ball+65cm.html;assets/img/ali/esporte-130.jpg
esporte-131;mini-bike-pedal;Mini Bike Pedal;Esporte;116,03;232,06;https://pt.aliexpress.com/w/wholesale-under+desk+mini+bike.html;assets/img/ali/esporte-131.jpg
esporte-132;suporte-celular-bike;Suporte Celular Bike;Esporte;18,65;37,30;https://pt.aliexpress.com/w/wholesale-bike+phone+mount.html;assets/img/ali/esporte-132.jpg
esporte-133;farol-bike-usb;Farol Bike USB;Esporte;31,60;63,20;https://pt.aliexpress.com/w/wholesale-usb+bike+light+set.html;assets/img/ali/esporte-133.jpg
esporte-134;joelheira-compressao;Joelheira Compressão;Esporte;27,97;55,94;https://pt.aliexpress.com/w/wholesale-knee+compression+sleeve.html;assets/img/ali/esporte-134.jpg
esporte-135;faixa-headband-suor;Faixa Headband Suor;Esporte;14,50;29,00;https://pt.aliexpress.com/w/wholesale-sweat+headband+sport.html;assets/img/ali/esporte-135.jpg
esporte-136;cinto-hidratacao;Cinto Hidratação;Esporte;42,48;84,96;https://pt.aliexpress.com/w/wholesale-running+hydration+belt.html;assets/img/ali/esporte-136.jpg
esporte-137;contador-passos-clip;Contador Passos Clip;Esporte;16,06;32,12;https://pt.aliexpress.com/w/wholesale-clip+pedometer.html;assets/img/ali/esporte-137.jpg
esporte-138;toalha-esportiva;Toalha Esportiva;Esporte;20,20;40,40;https://pt.aliexpress.com/w/wholesale-microfiber+sport+towel.html;assets/img/ali/esporte-138.jpg
esporte-139;halteres-ajustaveis-par;Halteres Ajustáveis Par;Esporte;150,22;300,44;https://pt.aliexpress.com/w/wholesale-adjustable+dumbbells+pair.html;assets/img/ali/esporte-139.jpg
esporte-140;barra-porta-exercicio;Barra Porta Exercício;Esporte;85,47;170,94;https://pt.aliexpress.com/w/wholesale-doorway+pull+up+bar.html;assets/img/ali/esporte-140.jpg
bebe-141;aquecedor-de-mamadeira;Aquecedor de Mamadeira;Bebê;56,25;112,50;https://pt.aliexpress.com/w/wholesale-baby+bottle+warmer+portable.html;assets/img/ali/bebe-141.jpg
bebe-142;almofada-amamentacao;Almofada Amamentação;Bebê;36,57;73,14;https://pt.aliexpress.com/w/wholesale-nursing+pillow.html;assets/img/ali/bebe-142.jpg
bebe-143;babador-silicone-kit-3;Babador Silicone Kit 3;Bebê;27,97;55,94;https://pt.aliexpress.com/w/wholesale-silicone+baby+bibs+3.html;assets/img/ali/bebe-143.jpg
bebe-144;mordedor-gelado;Mordedor Gelado;Bebê;16,58;33,16;https://pt.aliexpress.com/w/wholesale-teething+toy+freezer.html;assets/img/ali/bebe-144.jpg
bebe-145;monitor-bebe-camera;Monitor Bebê Câmera;Bebê;128,46;256,92;https://pt.aliexpress.com/w/wholesale-baby+monitor+camera+wifi.html;assets/img/ali/bebe-145.jpg
bebe-146;protetor-tomada-kit-20;Protetor Tomada Kit 20;Bebê;18,65;37,30;https://pt.aliexpress.com/w/wholesale-outlet+covers+baby+proof+20.html;assets/img/ali/bebe-146.jpg
bebe-147;trava-gaveta-kit-10;Trava Gaveta Kit 10;Bebê;21,24;42,48;https://pt.aliexpress.com/w/wholesale-baby+drawer+locks+10.html;assets/img/ali/bebe-147.jpg
bebe-148;cadeira-alimentacao-portatil;Cadeira Alimentação Portátil;Bebê;97,90;195,80;https://pt.aliexpress.com/w/wholesale-portable+baby+high+chair.html;assets/img/ali/bebe-148.jpg
bebe-149;mosquiteiro-carrinho;Mosquiteiro Carrinho;Bebê;24,86;49,72;https://pt.aliexpress.com/w/wholesale-stroller+mosquito+net.html;assets/img/ali/bebe-149.jpg
bebe-150;organizador-carrinho;Organizador Carrinho;Bebê;38,85;77,70;https://pt.aliexpress.com/w/wholesale-stroller+organizer+bag.html;assets/img/ali/bebe-150.jpg
bebe-151;termometro-banho;Termômetro Banho;Bebê;30,56;61,12;https://pt.aliexpress.com/w/wholesale-baby+bath+thermometer.html;assets/img/ali/bebe-151.jpg
